PLANILLA DE ANÁLISIS PT-A — Serious Game TITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== PARTICIPANTES ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== M1: COMPRENSIÓN DE ROL (Anexo D) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pareja,Explorador comprende rol sin ayuda (S/N),Técnico comprende rol sin ayuda (S/N),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1/P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3/P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5/P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7/P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9/P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% comprensión Explorador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% comprensión Técnico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMBRAL,> 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== M2: CONSOLIDACIÓN (Reto 1 vs Reto 4, Anexo D) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pareja,Intentos incorrectos Reto1,Tiempo Reto1 (s),Intentos incorrectos Reto4,Tiempo Reto4 (s),Mejora intentos (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1/P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3/P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5/P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7/P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9/P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMBRAL,,,,,≥ 20% mejora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== M3: OPERABILIDAD (Anexo D) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pareja,Acciones totales,Errores de interfaz,Acciones sin error,% Operabilidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1/P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3/P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5/P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7/P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9/P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL / MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMBRAL,,,, > 90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== M4: SATISFACCIÓN — LIKERT (Anexo E') ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código,L1,L2,L3,L4,L5,L6,PROMEDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMBRAL,,,,,,,≥ 3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== M5: SUS (Anexo E) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,PUNTOS SUS,INTERPRETACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESV. EST.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMBRAL,,,,,,,,,, ≥ 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FÓRMULA SUS,"=((S1-1)+(5-S2)+(S3-1)+(5-S4)+(S5-1)+(5-S6)+(S7-1)+(5-S8)+(S9-1)+(5-S10))*2.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== M7: CYBERSICKNESS SSQ (Anexo F) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código,Malestar PRE,Fatiga PRE,Dolor cabeza PRE,Fatiga visual PRE,Dificultad enfocar PRE,Náusea PRE,Mareo PRE,Vértigo PRE,TOTAL PRE,Malestar POST,Fatiga POST,Dolor cabeza POST,Fatiga visual POST,Dificultad enfocar POST,Náusea POST,Mareo POST,Vértigo POST,TOTAL POST,DELTA (POST-PRE),Síntoma ≥2 post (S/N),,,,,,,,,,,,,,,,,,,,,,,
P01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% con síntoma ≥2 POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== RESUMEN EJECUTIVO — APRUEBA/FALLA POR MÉTRICA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Métrica,Umbral,Resultado obtenido,¿Aprueba?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1 Comprensibilidad,> 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2 Consolidación,≥ 20% mejora intentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3 Operabilidad,> 90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4 Satisfacción Likert,≥ 3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5 SUS,≥ 68 puntos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6 Aprendizaje pre/post,Mejora significativa (p<0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7 Cybersickness SSQ,< 30% con síntoma ≥2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
